model,dataset,loss
full,AST,0.71798694
full,AST,0.5413281
full,AST,0.56050414
full,AST,0.8963522
full,AST,0.9596984
full,AST,0.6179976
full,AST,0.7029737
full,AST,0.5882094
full,AST,0.6701143
full,AST,0.79747474
full,AST,0.8146223
full,AST,0.6701829
full,AST,0.8942259
full,AST,0.63164586
full,AST,0.69542193
full,AST,0.829492
full,AST,0.4757679
full,AST,0.9546922
full,AST,0.86361283
full,AST,0.46997148
full,AST,0.76764613
full,AST,0.7960347
full,AST,0.7882637
full,AST,0.81085515
full,AST,0.91094786
full,AST,0.72471637
full,AST,0.6419673
full,AST,0.38572603
full,AST,0.6818763
full,AST,0.71716684
full,AST,0.89804626
full,AST,0.9195343
full,AST,0.9363404
full,AST,0.74466014
full,AST,0.7439463
full,AST,0.9635281
full,AST,0.759609
full,AST,0.94955105
full,AST,0.76745176
full,AST,0.68660045
full,AST,0.4218132
full,AST,0.92466885
full,AST,0.80579066
full,AST,0.89464176
full,AST,0.7798128
full,AST,0.8792445
full,AST,0.5396131
full,AST,0.89965427
full,AST,0.82404983
full,AST,0.19368213
full,AST,0.7824075
full,AST,0.9297137
full,AST,0.9086724
full,AST,0.72357976
full,AST,0.9470568
full,AST,0.831425
full,AST,0.8802797
full,AST,0.7810478
full,AST,0.8651455
full,AST,0.7825806
full,AST,0.92472994
full,AST,0.8679377
full,AST,0.5628588
full,AST,0.9311247
full,AST,0.8480829
full,AST,0.773864
full,AST,0.40242994
full,AST,0.5914323
full,AST,0.93715906
full,AST,0.93360555
full,AST,0.9406718
full,AST,0.9385297
full,AST,0.8781093
full,AST,0.8228047
full,AST,0.7040353
full,AST,0.9183376
full,AST,0.8031699
full,AST,0.8490994
full,AST,0.89570427
full,AST,0.48375916
full,AST,0.84180355
full,AST,0.85173047
full,AST,0.94208646
full,AST,0.8606117
full,AST,0.4821269
full,AST,0.7758372
full,AST,0.9303419
full,AST,0.58758795
full,AST,0.843231
full,AST,0.8985345
full,AST,0.70411617
full,AST,0.8525531
full,AST,0.7123929
full,AST,0.85200465
full,AST,0.8047933
full,AST,0.85968095
full,AST,0.9565666
full,AST,0.930512
full,AST,0.6522182
full,AST,0.65263605
full,AST,0.7776853
full,AST,0.92742914
full,AST,0.77278674
full,AST,0.83053
full,AST,0.65747255
full,AST,0.8698583
full,AST,0.73549044
full,AST,0.7771924
full,AST,0.6111158
full,AST,0.7441387
full,AST,0.87024415
full,AST,0.35951817
full,AST,0.89701796
full,AST,0.87213314
full,AST,0.7578449
full,AST,0.8523697
full,AST,0.84149235
full,AST,0.8371972
full,AST,0.7300445
full,AST,0.9078835
full,AST,0.8164759
full,AST,0.9009014
full,AST,0.84663016
full,AST,0.851144
full,AST,0.9547969
full,AST,0.9148028
full,AST,0.89499104
full,AST,0.874502
full,AST,0.8776412
full,AST,0.80575895
full,AST,0.9096311
full,AST,0.7728533
full,AST,0.8212539
full,AST,0.8809361
full,AST,0.94655436
full,AST,0.9322056
full,AST,0.807838
full,AST,0.8324835
full,AST,0.6455244
full,AST,0.8917537
full,AST,0.7699415
full,AST,0.95452654
full,AST,0.8850168
full,AST,0.6858062
full,AST,0.842539
full,AST,0.5373297
full,AST,0.6411953
full,AST,0.8984573
full,AST,0.79302496
full,AST,0.97464645
full,AST,0.92750454
full,AST,0.9204041
full,AST,0.66304946
full,AST,0.8075463
full,AST,0.44438434
full,AST,0.951854
full,AST,0.9133791
full,AST,0.865501
full,AST,0.8381024
full,AST,0.9112163
full,AST,0.22505802
full,AST,0.8122966
full,AST,0.9486234
full,AST,0.7228361
full,AST,0.85697687
full,AST,0.62591887
full,AST,0.8652697
full,AST,0.8586132
full,AST,0.6150752
full,AST,0.9088555
full,AST,0.8503696
full,AST,0.8485347
full,AST,0.5710773
full,AST,0.9222026
full,AST,0.792669
full,AST,0.7818854
full,AST,0.86650586
full,AST,0.79156137
full,AST,0.8462994
full,AST,0.8014634
full,AST,0.93316776
full,AST,0.78971153
full,AST,0.42595023
full,AST,0.93263793
full,AST,0.86110234
full,AST,0.6220924
full,AST,0.6532631
full,AST,0.9314406
full,AST,0.934838
full,AST,0.79259557
full,AST,0.9347582
full,AST,0.65442646
full,AST,0.76192546
full,AST,0.8169314
full,AST,0.93496776
full,AST,0.9345113
full,AST,0.7576538
full,AST,0.5738568
full,AST,0.8850869
full,AST,0.8348398
full,AST,0.6187087
full,AST,0.8779391
full,AST,0.63976836
full,AST,0.89821935
full,AST,0.828282
full,AST,0.89177316
full,AST,0.72658265
full,AST,0.83611417
full,AST,0.84444743
full,AST,0.72194505
full,AST,0.747519
full,AST,0.9496585
full,AST,0.7930002
full,AST,0.9396999
full,AST,0.5963418
full,AST,0.8165485
full,AST,0.7847122
full,AST,0.93054307
full,AST,0.8114902
full,AST,0.8617315
full,AST,0.6357427
full,AST,0.6668461
full,AST,0.4925475
full,AST,0.4676708
full,AST,0.93841445
full,AST,0.93148017
full,AST,0.8004355
full,AST,0.89005476
full,AST,0.8386997
full,AST,0.87158954
full,AST,0.8996949
full,AST,0.89880335
full,AST,0.7711798
full,AST,0.92630917
full,AST,0.73595846
full,AST,0.862081
full,AST,0.8443604
full,AST,0.91003186
full,AST,0.65891004
full,AST,0.76807636
full,AST,0.85645914
full,AST,0.93984413
full,AST,0.63006675
full,AST,0.9104436
full,AST,0.8644237
full,AST,0.89270747
full,AST,0.8442142
full,AST,0.92558306
full,AST,0.8126464
full,AST,0.9311591
full,AST,0.9176402
full,AST,0.3494792
full,AST,0.8697705
full,AST,0.9169242
full,AST,0.68102676
full,AST,0.9243488
full,AST,0.91242087
full,AST,0.9237386
full,AST,0.63121307
full,AST,0.93478864
full,AST,0.9253832
full,AST,0.9461037
full,AST,0.65061474
full,AST,0.7635771
full,AST,0.88089687
full,AST,0.8655546
full,AST,0.91310394
full,AST,0.89281094
full,AST,0.92677057
full,AST,0.43253374
full,AST,0.7960212
full,AST,0.7364335
full,AST,0.6853633
full,AST,0.62009025
full,AST,0.97893107
full,AST,0.6232466
full,AST,0.88659143
full,AST,0.7726196
full,AST,0.3074966
full,AST,0.9298885
full,AST,0.9135773
full,AST,0.8811986
full,AST,0.897103
full,AST,0.82916284
full,AST,0.8544004
full,AST,0.67301977
full,AST,0.9269523
full,AST,0.6009004
full,AST,0.7672618
full,AST,0.791091
full,AST,0.9101985
full,AST,0.9102614
full,AST,0.7761297
full,AST,0.9074199
full,AST,0.9159815
full,AST,0.7055572
full,AST,0.9234679
full,AST,0.70682526
full,AST,0.8919271
full,AST,0.8418047
full,AST,0.7576687
full,AST,0.68036807
full,AST,0.9424813
full,AST,0.66085076
full,AST,0.7505661
full,AST,0.9289553
full,AST,0.65764654
full,AST,0.7875124
full,AST,0.9153354
full,AST,0.5917691
full,AST,0.62965506
full,AST,0.77135426
full,AST,0.92710227
full,AST,0.6672744
full,AST,0.52383053
full,AST,0.8400283
full,AST,0.8583306
full,AST,0.83450025
full,AST,0.76074857
full,AST,0.46599865
full,AST,0.2929461
full,AST,0.72384703
full,AST,0.77569914
full,AST,0.90432036
full,AST,0.89271295
full,AST,0.63494277
full,AST,0.9367725
full,AST,0.8671701
full,AST,0.8471998
full,AST,0.8567002
full,AST,0.73708427
full,AST,0.8847545
full,AST,0.80291414
full,AST,0.67079747
full,AST,0.8409006
full,AST,0.9348028
full,AST,0.5027064
full,AST,0.91576636
full,AST,0.6989063
full,AST,0.87523097
full,AST,0.8115016
full,AST,0.93612635
full,AST,0.71721435
full,AST,0.901842
full,AST,0.46898866
full,AST,0.9401364
full,AST,0.86838186
full,AST,0.78723645
full,AST,0.5518408
full,AST,0.8220079
full,AST,0.4476968
full,AST,0.81934714
full,AST,0.7866339
full,AST,0.29388344
full,AST,0.62299997
full,AST,0.8831245
full,AST,0.94801414
full,AST,0.93287367
full,AST,0.8855068
full,AST,0.3773843
full,AST,0.90508235
full,AST,0.8141998
full,AST,0.65892756
full,AST,0.8893436
full,AST,0.8567529
full,AST,0.5534961
full,AST,0.6545282
full,AST,0.932068
full,AST,0.714826
full,AST,0.7364627
full,AST,0.81439286
full,AST,0.7181227
full,AST,0.82932603
full,AST,0.9177182
full,AST,0.9093977
full,AST,0.6218722
full,AST,0.9284007
full,AST,0.8911024
